Channel,Region,Fresh,Milk,Grocery,Frozen,Detergents_Paper,Delicassen,Anomaly Score,Original Index
Horeca,Others,9,1534,7417,175,3468,27,5.465299751176012,66
Horeca,Others,20398,1137,3,4407,3,975,5.135833491329703,75
Horeca,Others,3,2920,6252,440,223,709,4.96085909696303,95
Horeca,Others,403,254,610,774,54,63,5.13974480331625,97
Horeca,Others,503,112,778,895,56,132,5.101275214270564,98
Horeca,Others,140,8847,3823,142,1062,3,4.979108906460249,128
Horeca,Others,622,55,137,75,7,8,6.451970198695261,154
Horeca,Others,112151,29627,18148,16745,4948,8550,5.425697111230083,181
Horeca,Others,36847,43950,20170,36534,239,47943,6.351284775371326,183
Horeca,Others,327,918,4710,74,334,11,4.889240043957154,184
Horeca,Others,42786,286,471,1388,32,22,4.9511611590769355,289
Horeca,Others,190,727,2012,245,184,127,4.799571769408889,355
Horeca,Others,22686,134,218,3157,9,548,4.95414859976972,356
Horeca,Others,97,3605,12400,98,2970,62,5.063098579827112,412
Horeca,Porto,444,879,2060,264,290,259,4.168297722918898,299
Horeca,Porto,32717,16784,13626,60869,1272,5609,5.055473510182843,325
Horeca,Porto,542,899,1664,414,88,522,4.136013921247359,327
Horeca,Porto,3,333,7021,15601,15,550,6.0112447461478125,338
Retail,Others,44466,54259,55571,7782,24171,6465,5.874879737479048,47
Retail,Others,85,20959,45828,36,24231,1423,6.227109895480641,65
Retail,Others,16117,46197,92780,1026,40827,2944,5.680771330796747,85
Retail,Others,37,1275,22272,137,6747,110,5.564452722364329,357
Retail,Porto,8565,4980,67298,131,38102,1215,5.134282459009453,333
